BNA,7
CLT,-3
CLT,-4
PHX,-2
LAX,-2
LAS,-8
RDU,2
SJU,-2
IAH,-3
PHL,-1
STL,2
MSP,-3
DCA,-2
SFO,-7
JFK,4
LGA,-1
STL,-5
DFW,33
LGA,1
MCO,-6
DFW,205
BOS,-4
FLL,13
EWR,-8
FLL,-1
GSO,-3
MSP,-3
LAX,-4
PNS,-9
LAS,-2
MSP,-1
ATL,-1
SDF,-2
DFW,-3
BWI,-8
CHS,-1
DEN,-6
HPN,-4
HPN,-2
LBB,-1
CAE,-7
AVP,-6
ORD,65
GSO,0
HNL,-9
SGF,0
SGF,44
CID,-3
CMI,-8
DFW,0
DFW,0
DFW,0
COU,100
FLL,5
FLL,1
ACY,-3
RDM,9
HLN,0
OKC,1
SFO,21
MSP,-1
DFW,0
SLC,-1
BTM,-8
LGA,-7
CVG,-9
DFW,0
STL,0
BOS,0
FLL,-3
ORD,12
FLL,-3
CMH,-3
MIA,-6
LAX,-1
TPA,-6
MEM,-11
PHL,-10
CLE,-4
ATL,-4
ELP,0
EWR,-3
ISP,-7
MCI,-1
MCI,-2
MCO,-9
SEA,-1
SJC,-4
SLC,1
HOU,-4
LAX,-9
MCO,-2
LAS,-9
DFW,-7
PBI,-7
SLC,-3
SEA,12
JNU,-12
SEA,2
TPA,-16
BOS,1
MSP,9
LAX,1
RSW,5
DTW,-2
SHV,130
IAH,5
DFW,0
LAX,-5
OGG,-6
FLL,3
BOS,-6
CLE,-6
ORD,-3
DEN,-5
BDL,5
IND,-4
LAS,3
LAS,-1
LAX,-3
MCO,-4
MCO,0
PHX,-1
SMF,-3
TPA,-1
TUL,-4
LAX,-8
MCI,-6
DFW,-4
DEN,0
RDU,-4
AUS,0
DFW,0
JFK,4
SJU,-3
JFK,-5
RSW,-2
SFO,171
MCO,-4
BWI,10
JFK,-2
DEN,-4
TTN,11
DFW,0
DFW,0
DFW,0
XNA,-7
MEM,-3
OKC,17
MRY,-12
FLL,-1
OKC,3
SJU,6
SLC,41
LAX,96
IAD,-3
MIA,-5
MCI,-4
BOI,199
IAH,16
FLL,28
AUS,13
ORD,-4
ORD,-5
PHL,0
SFO,-3
BNA,8
STL,-4
AUS,18
ATL,-5
SAN,-6
LGA,0
CLT,-1
DAL,2
DAL,-2
DAL,0
DAL,-1
MDW,-2
MSY,-2
PIT,48
